station_id,time,AtomsphericPressure,WindDirection,WindSpeed,WaveHeight
M4,2007-05-03T09:00:00Z,,50.0,12.0,1.0
M4,2007-05-03T10:00:00Z,,50.0,10.0,1.0
M4,2007-05-03T11:00:00Z,,50.0,9.0,0.9
M4,2007-05-03T12:00:00Z,,50.0,9.0,
M4,2007-05-03T13:00:00Z,,40.0,10.0,1.0
M4,2007-05-03T14:00:00Z,,40.0,11.0,0.9
M4,2007-05-03T15:00:00Z,,40.0,12.0,1.0
M4,2007-05-03T16:00:00Z,,40.0,10.0,1.0
M4,2007-05-03T17:00:00Z,,30.0,11.0,0.9
M4,2007-05-03T18:00:00Z,,30.0,11.0,0.9
M4,2007-05-03T19:00:00Z,,40.0,13.0,1.0
M4,2007-05-03T20:00:00Z,,40.0,13.0,0.9
M4,2007-05-03T21:00:00Z,,30.0,12.0,0.9
M4,2007-05-03T22:00:00Z,,50.0,13.0,0.9
M4,2007-05-03T23:00:00Z,,50.0,13.0,0.9
M4,2007-05-04T00:00:00Z,,40.0,14.0,1.0
M4,2007-05-04T01:00:00Z,,50.0,13.0,1.0
M4,2007-05-04T02:00:00Z,,40.0,13.0,1.0
M4,2007-05-04T03:00:00Z,,40.0,13.0,1.0
M4,2007-05-04T04:00:00Z,,50.0,13.0,1.0
M4,2007-05-04T05:00:00Z,,50.0,12.0,1.0
M4,2007-05-04T06:00:00Z,,60.0,12.0,1.1
M4,2007-05-04T07:00:00Z,,50.0,12.0,1.1
M4,2007-05-04T08:00:00Z,,60.0,13.0,1.1
M4,2007-05-04T09:00:00Z,,40.0,13.0,1.1
M4,2007-05-04T10:00:00Z,,50.0,12.0,1.0
M4,2007-05-04T11:00:00Z,,60.0,11.0,1.1
M4,2007-05-04T12:00:00Z,,60.0,11.0,1.0
M4,2007-05-04T13:00:00Z,,70.0,10.0,1.0
M4,2007-05-04T14:00:00Z,,60.0,11.0,1.0
M4,2007-05-04T15:00:00Z,,50.0,12.0,1.0
M4,2007-05-04T16:00:00Z,,50.0,13.0,1.0
M4,2007-05-04T17:00:00Z,,50.0,13.0,1.0
M4,2007-05-04T18:00:00Z,,50.0,13.0,1.1
M4,2007-05-04T19:00:00Z,,60.0,13.0,1.1
M4,2007-05-04T20:00:00Z,,70.0,13.0,1.0
M4,2007-05-04T21:00:00Z,,90.0,12.0,1.0
