,station_id,time,AtmosphericPressure,WindDirection,WindSpeed,WaveHeight
7344,M3,2003-07-06T19:00:00Z,1020.4,190.0,14.0,1.5
1925,M3,2002-10-11T04:00:00Z,1008.2,190.0,9.0,2.1
12621,M3,2004-02-18T23:00:00Z,1031.6,130.0,,1.7
21797,M3,2005-03-24T10:00:00Z,1000.2,210.0,15.0,3.3
3430,M3,2003-01-20T04:00:00Z,976.6,240.0,23.0,5.6
7623,M3,2003-07-18T12:00:00Z,1010.4,170.0,10.0,1.7
20265,M3,2005-01-19T04:00:00Z,1017.2,290.0,29.0,8.6
8034,M3,2003-08-04T15:00:00Z,1021.4,100.0,15.0,1.3
20131,M3,2005-01-13T12:00:00Z,1024.0,180.0,23.0,3.5
20589,M3,2005-02-01T18:00:00Z,1042.8,350.0,17.0,1.6
18157,M3,2004-10-22T12:00:00Z,993.0,180.0,11.0,2.9
11945,M3,2004-01-20T01:00:00Z,1024.0,260.0,12.0,3.5
20630,M3,2005-02-03T12:00:00Z,1039.0,220.0,12.0,1.8
19361,M3,2004-12-12T00:00:00Z,1022.8,140.0,18.0,2.6
12878,M3,2004-03-03T18:00:00Z,1017.2,240.0,,
4748,M3,2003-03-16T13:00:00Z,1032.8,110.0,22.0,2.9
10723,M3,2003-11-29T19:00:00Z,999.6,260.0,18.0,3.2
22686,M3,2005-04-30T18:00:00Z,1005.0,140.0,14.0,1.6
8430,M3,2003-08-21T21:00:00Z,1015.2,230.0,17.0,2.5
21357,M3,2005-03-05T22:00:00Z,1026.4,30.0,16.0,2.8
20888,M3,2005-02-14T07:00:00Z,1033.6,340.0,18.0,3.5
4079,M3,2003-02-16T14:00:00Z,1027.6,170.0,25.0,3.9
19602,M3,2004-12-22T01:00:00Z,1025.4,270.0,23.0,3.6
15025,M3,2004-06-09T23:00:00Z,,190.0,19.0,1.9
11600,M3,2004-01-05T13:00:00Z,1011.2,220.0,18.0,3.4
18496,M3,2004-11-05T17:00:00Z,1034.6,260.0,7.0,2.3
17386,M3,2004-09-20T07:00:00Z,1010.0,280.0,27.0,5.6
538,M3,2002-08-14T00:00:00Z,1015.6,200.0,9.0,
22799,M3,2005-05-05T13:00:00Z,1030.0,300.0,18.0,1.6
17479,M3,2004-09-24T04:00:00Z,1026.0,50.0,6.0,1.8
23964,M3,2005-06-23T17:00:00Z,1018.2,310.0,9.0,2.4
4876,M3,2003-03-22T02:00:00Z,1020.4,160.0,12.0,3.2
3278,M3,2003-01-13T18:00:00Z,1030.0,220.0,21.0,4.2
18674,M3,2004-11-13T03:00:00Z,1039.4,40.0,12.0,3.4
16004,M3,2004-07-23T22:00:00Z,1027.6,290.0,7.0,2.0
5473,M3,2003-04-15T23:00:00Z,1015.0,140.0,14.0,2.0
3700,M3,2003-01-31T14:00:00Z,1027.6,230.0,,2.2
3438,M3,2003-01-20T12:00:00Z,975.0,180.0,,4.9
6487,M3,2003-05-28T11:00:00Z,1019.8,150.0,13.0,2.4
2317,M3,2002-10-28T03:00:00Z,1028.4,250.0,14.0,3.4
13705,M3,2004-04-11T04:00:00Z,1023.2,360.0,,
12606,M3,2004-02-18T06:00:00Z,1032.6,130.0,,1.8
14119,M3,2004-05-02T10:00:00Z,1011.8,360.0,13.0,1.2
22728,M3,2005-05-02T13:00:00Z,1002.4,90.0,8.0,1.8
5882,M3,2003-05-03T01:00:00Z,1011.6,210.0,12.0,1.6
14070,M3,2004-04-30T09:00:00Z,1010.6,360.0,23.0,2.8
22922,M3,2005-05-10T16:00:00Z,1024.4,100.0,12.0,1.2
11906,M3,2004-01-18T10:00:00Z,1030.8,250.0,,3.8
7754,M3,2003-07-23T23:00:00Z,1014.8,260.0,13.0,2.7
20461,M3,2005-01-27T09:00:00Z,1036.4,30.0,17.0,2.1
4652,M3,2003-03-12T13:00:00Z,1036.4,60.0,10.0,2.8
23026,M3,2005-05-15T00:00:00Z,1014.6,70.0,26.0,2.8
14709,M3,2004-05-27T18:00:00Z,1013.2,170.0,19.0,3.1
10458,M3,2003-11-17T21:00:00Z,1021.4,230.0,14.0,
14310,M3,2004-05-10T21:00:00Z,1021.6,340.0,18.0,1.6
19172,M3,2004-12-04T02:00:00Z,1026.6,220.0,11.0,2.2
13403,M3,2004-03-27T13:00:00Z,1019.4,310.0,,1.5
12442,M3,2004-02-10T23:00:00Z,1031.2,150.0,,2.4
14009,M3,2004-04-27T20:00:00Z,1022.6,350.0,24.0,2.6
15255,M3,2004-06-22T12:00:00Z,996.0,90.0,18.0,1.5
17583,M3,2004-09-28T12:00:00Z,1020.8,220.0,6.0,1.9
23327,M3,2005-05-27T13:00:00Z,1005.8,100.0,17.0,1.9
17742,M3,2004-10-05T04:00:00Z,1004.0,260.0,24.0,5.4
23178,M3,2005-05-21T08:00:00Z,1001.6,200.0,16.0,2.5
2538,M3,2002-12-13T10:00:00Z,1018.0,120.0,9.0,2.9
18413,M3,2004-11-02T06:00:00Z,1015.0,130.0,17.0,2.4
23076,M3,2005-05-17T02:00:00Z,1022.8,100.0,14.0,2.1
20346,M3,2005-01-22T13:00:00Z,1018.4,260.0,20.0,3.4
24399,M3,2005-07-12T00:00:00Z,1033.6,340.0,5.0,0.8
8050,M3,2003-08-05T07:00:00Z,1017.2,360.0,9.0,1.3
22057,M3,2005-04-04T06:00:00Z,1020.8,290.0,14.0,3.1
7849,M3,2003-07-27T22:00:00Z,1013.6,220.0,13.0,2.2
4703,M3,2003-03-14T16:00:00Z,1025.4,100.0,22.0,3.2
16889,M3,2004-08-30T11:00:00Z,1023.0,330.0,13.0,3.2
18004,M3,2004-10-16T02:00:00Z,1003.2,330.0,15.0,3.2
10751,M3,2003-11-30T23:00:00Z,1003.2,330.0,8.0,4.3
11501,M3,2004-01-01T10:00:00Z,1019.0,320.0,28.0,6.5
5991,M3,2003-05-07T16:00:00Z,1015.8,220.0,23.0,3.6
3918,M3,2003-02-09T17:00:00Z,1017.4,180.0,,4.6
2719,M3,2002-12-21T08:00:00Z,,140.0,21.0,2.4
22826,M3,2005-05-06T16:00:00Z,1023.6,280.0,16.0,2.1
18780,M3,2004-11-17T13:00:00Z,1027.8,250.0,18.0,2.6
8078,M3,2003-08-06T11:00:00Z,1024.8,330.0,11.0,1.0
16292,M3,2004-08-04T22:00:00Z,1014.2,170.0,7.0,0.9
19180,M3,2004-12-04T10:00:00Z,1028.4,210.0,15.0,2.4
10361,M3,2003-11-13T20:00:00Z,991.0,240.0,40.0,7.5
539,M3,2002-08-14T01:00:00Z,1015.2,190.0,10.0,
10458,M3,2003-11-17T21:00:00Z,1021.4,230.0,14.0,
21595,M3,2005-03-15T23:00:00Z,1005.6,190.0,25.0,4.9
7654,M3,2003-07-19T19:00:00Z,1005.4,200.0,19.0,2.5
16191,M3,2004-07-31T17:00:00Z,1019.4,,,2.2
6786,M3,2003-06-10T01:00:00Z,997.2,180.0,17.0,2.7
23363,M3,2005-05-29T01:00:00Z,1020.0,230.0,8.0,2.5
17351,M3,2004-09-18T20:00:00Z,1016.2,280.0,20.0,4.1
7640,M3,2003-07-19T05:00:00Z,1001.8,170.0,29.0,3.0
7285,M3,2003-07-04T08:00:00Z,1021.8,330.0,14.0,1.1
5518,M3,2003-04-17T20:00:00Z,1025.6,100.0,13.0,2.2
13069,M3,2004-03-12T08:00:00Z,996.8,280.0,,4.9
7675,M3,2003-07-20T16:00:00Z,,230.0,18.0,2.5
20951,M3,2005-02-16T22:00:00Z,1031.6,340.0,8.0,2.3
